Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Bogdan Bogdanovic	LAC	32	24	12	12	24.9	10	3.5	9.3	37.1	1.8	6.1	30.1	1.3	1.4	88.2	0.5	2.3	2.8	2	1.5	0.8	0.3	2.4	18.1	0	0	-1.8
Julian Champagnie	SAS	23	51	23	28	24.8	10	3.4	8.2	41.7	2.2	6.1	36.2	0.9	1	90.6	0.8	3.2	4	1.2	1	0.8	0.4	1.4	19.3	0	0	0.6
Svi Mykhailiuk	UTA	27	21	5	16	19.7	10	3.5	8.7	40.4	2.1	6.1	34.9	0.8	1	76.2	0.5	2	2.5	1.8	1.6	0.7	0.3	1.3	16.9	0	0	0.1
Keon Johnson	BKN	22	51	19	32	23.2	9.9	3.6	9.6	37.3	1.5	5	29.8	1.3	1.6	78.3	0.8	2.7	3.5	1.9	1.2	0.9	0.4	2.5	19.4	0	0	-5
Obi Toppin	IND	26	49	27	22	19.1	9.9	3.8	7.1	53.4	1.2	3.4	34.3	1.1	1.4	78.6	0.7	3.3	4	1.5	0.7	0.7	0.3	1.4	19.3	0	0	-1.8
Cam Whitmore	HOU	20	34	20	14	17.6	9.9	3.7	8.7	42.4	1.3	4.1	32.6	1.1	1.6	73.6	0.7	2.6	3.3	0.8	1	0.7	0.3	1.1	17	1	0	1.9
Tosan Evbuomwan	BKN	23	19	6	13	24.7	9.8	3.6	7.9	45.3	0.8	2.6	30.6	1.9	2.6	73.5	1.2	3.1	4.2	1.6	1.6	0.8	0.4	1.9	19.2	0	0	-0.3
T.J. McConnell	IND	32	51	29	22	18.5	9.8	4.4	8.5	52.2	0.2	0.6	25	0.8	1.1	73.2	0.5	2	2.6	4.5	1.5	1.2	0.3	1	22.4	1	0	-0.8
Luguentz Dort	OKC	25	48	39	9	28.9	9.8	3.4	8.1	42	2.3	5.6	41.2	0.7	0.8	82.1	1.5	2.8	4.3	1.7	0.7	1.1	0.6	3.1	21.8	0	0	8
Isaiah Joe	OKC	25	47	40	7	21.2	9.7	3.4	7.8	43.8	2.4	6.1	40.1	0.4	0.6	73.1	0.5	2	2.6	1.4	0.5	0.7	0.1	1.6	16.8	0	0	7.9
Zach Edey	MEM	22	39	25	14	20.6	9.6	3.9	6.8	58.3	0.4	1	35	1.3	1.9	68.4	3.3	4.4	7.7	0.9	1.4	0.7	1.2	2.6	24.4	8	0	4.9
Julian Strawther	DEN	22	54	35	19	22.5	9.6	3.4	7.9	43.5	1.6	4.4	36.2	1.1	1.4	82.7	0.3	1.9	2.2	1.4	0.9	0.7	0.3	2.4	16.3	0	0	-0.3
Brandin Podziemski	GSW	21	40	21	19	25	9.5	3.5	8.2	43	1.3	4.1	32.5	1.2	1.6	73	1	3.7	4.7	3.5	1.1	1	0.2	1.5	22.8	0	0	2.4
Scotty Pippen Jr.	MEM	24	53	36	17	20.8	9.5	3.5	7.5	47	1	2.8	36.1	1.5	2.2	67.8	0.8	2.5	3.3	4.4	1.8	1.2	0.4	2.5	23.1	6	1	0.8
Royce O'Neale	PHX	31	47	23	24	25.6	9.5	3.4	7.9	42.4	2.4	5.9	40.4	0.4	0.5	77.3	0.8	4.2	5	2.1	0.9	0.9	0.5	2.2	22.2	0	0	-1
Jose Alvarado	NOP	26	29	10	19	22.5	9.4	3.2	7.9	40.4	2.1	5.3	39.6	0.9	1.2	79.4	0.4	1.5	1.9	4.1	1.2	1.3	0.3	1.9	21.4	0	0	-4.4
Ziaire Williams	BKN	23	39	16	23	23.5	9.4	3.2	7.9	39.9	1.3	4	32.7	1.8	2.2	81.6	1.1	3.7	4.8	1.5	1	1	0.4	2.4	20.6	1	0	-4.1
Noah Clowney	BKN	20	37	9	28	23	9.4	3	8.1	37.5	2	5.6	35.4	1.4	1.6	85	0.9	3	3.9	0.8	1	0.5	0.5	2.4	17.4	0	0	-7.1
Clint Capela	ATL	30	45	22	23	22.4	9.4	4.2	7.3	57.3	0	0	0	1	1.9	54.1	3.3	5.7	9	1.2	1	0.6	1	2	25.8	11	0	-0.8
Dalton Knecht	LAL	23	48	29	19	20.7	9.4	3.4	7.4	46.5	1.6	4.5	35.8	1	1.2	82.5	0.5	2.6	3.1	0.9	0.5	0.3	0.1	1.3	15.1	0	0	-0.8
GG Jackson	MEM	20	11	9	2	17.4	9.4	3.3	8.1	40.4	1.3	4.2	30.4	1.5	2.1	73.9	1.1	2.2	3.3	0.8	1.5	0.5	0.2	0.9	15	0	0	-3.5
Jalen Wilson	BKN	24	52	18	34	27.4	9.3	3.2	8.2	39.1	1.4	4.5	30.6	1.6	1.9	82	1.1	2.4	3.5	1.9	1.2	0.5	0.1	2.2	17	0	0	-4
Jaime Jaquez Jr.	MIA	23	45	23	22	23.1	9.3	3.3	7.6	43.7	0.6	2	29.7	2	2.7	76.7	1.3	3.4	4.7	2.7	1.5	1.1	0.2	1.6	21.4	2	1	-3.3
Luke Kennard	MEM	28	40	28	12	21.8	9.3	3.1	6.7	47	2.1	4.4	47.5	1	1.1	88.4	0.6	2.3	2.9	3.4	1.1	0.7	0.1	0.8	19	0	0	5.2
Patrick Williams	CHI	23	44	18	26	26.4	9.3	3.3	8.8	37.4	1.6	4.5	35	1.1	1.5	76.9	0.8	3.3	4.1	2.1	1.4	0.8	0.6	1.3	19.9	1	0	-4.8
Miles McBride	NYK	24	43	29	14	23.6	9.3	3.3	7.8	41.8	1.7	4.6	37.6	1	1.1	85.7	0.7	1.6	2.4	2.7	0.7	0.9	0.2	1.5	18.6	0	0	4.3
Chris Paul	SAS	39	51	23	28	29.1	9.3	3.1	7.4	41.8	1.7	4.8	36.2	1.4	1.4	95.9	0.5	3.6	4.1	8.1	1.5	1.3	0.2	1.9	29.2	10	0	2.4
Danté Exum	DAL	29	6	2	4	19	9.2	3.3	7	47.6	1	2.5	40	1.5	2.7	56.3	0.2	1.3	1.5	3.7	1	0.5	0	1.5	17	0	0	-0.7
Max Christie	DAL	22	50	29	21	25.7	9.2	3	6.6	45.3	1.4	3.6	39	1.8	2.1	84	0.6	2.3	2.9	1.6	0.9	0.8	0.5	1.6	17.8	0	0	0.1
Kevin Porter Jr.	MIL	24	46	24	22	19.4	9.2	3.8	8.9	42.4	0.6	2.3	24.5	1.1	1.7	64.5	0.6	2.9	3.5	3.2	1.9	1	0.2	1.5	19.8	0	0	-0.6
Dereck Lively II	DAL	21	32	19	13	24	9.1	3.9	5.5	70.1	0	0	0	1.4	2.2	63.8	3.1	4.8	7.8	2.6	1.2	0.5	1.7	2.9	27.9	7	0	3.9
Cole Anthony	ORL	24	50	25	25	17.3	9.1	3.4	8	42.4	1	3.1	31.8	1.3	1.7	78.6	0.6	2.2	2.8	2.8	1.6	0.7	0.3	2.2	18.1	0	0	-0.6
Anthony Black	ORL	21	51	24	27	24.9	9.1	3.2	7.7	41.2	0.6	2.4	27.5	2.1	2.8	75.5	0.6	2	2.6	3.4	1.9	1	0.5	2.3	20	0	0	-1.3
Caleb Martin	DAL	29	31	12	19	30.4	9.1	3.3	7.5	43.5	1.1	2.8	37.9	1.5	2.4	62.2	1.4	3	4.4	2.2	1.4	1.1	0.6	2	21.5	1	0	-3.9
Moses Moody	GSW	22	45	24	21	18.9	9	3.1	7.2	43.5	1.7	4.4	38.3	1.2	1.6	73.2	0.5	1.6	2.1	1.1	0.7	0.5	0.3	1.4	15.1	0	0	0.4
Ausar Thompson	DET	22	32	18	14	20.7	9	3.7	6.9	53.8	0.2	1	21.9	1.4	2.3	61.1	1.6	3.4	5	2	1.4	1.7	0.5	2.8	23	1	0	-0.3
Brice Sensabaugh	UTA	21	42	9	33	17.6	9	3.3	7.3	44.8	1.6	4.4	36.8	0.9	0.9	92.3	0.6	2	2.5	1.2	1.4	0.6	0.1	1.4	14.6	0	0	-4.8
Bub Carrington	WAS	19	53	9	44	29.2	8.9	3.3	8.2	40.4	1.6	4.7	34.8	0.7	0.8	81.8	0.4	3.5	3.9	4	1.5	0.7	0.2	2.3	20.6	3	0	-11.8
Georges Niang	ATL	31	53	43	10	20.8	8.8	3.3	6.9	47.7	1.8	4.4	40.4	0.5	0.6	78.8	0.7	3.1	3.8	1.3	0.9	0.4	0.1	2.5	15.9	1	0	4
Kentavious Caldwell-Pope	ORL	31	52	24	28	30.5	8.8	3.1	7.5	41.2	1.5	4.7	31.4	1.2	1.3	88.6	0.4	1.7	2.1	1.8	0.9	1.5	0.5	1.9	19.1	0	0	-1.1
Nickeil Alexander-Walker	MIN	26	54	30	24	24.2	8.8	3.1	7.1	44	1.7	4.3	39.3	0.8	1.1	75.4	0.6	2.4	3	2.5	1.2	0.6	0.3	1.7	17.6	1	0	2.8
Nick Richards	PHX	27	34	10	24	21.8	8.8	3.1	5.6	55.8	0	0.1	0	2.6	3.6	70.7	2.6	5.8	8.4	1.1	1.5	0.3	1.1	2.5	23.2	9	0	-3.7
Goga Bitadze	ORL	25	44	24	20	23.8	8.8	3.7	6	62.4	0	0.4	10.5	1.3	2	63.6	2.7	5.3	8	2.2	1.3	0.8	1.6	2.3	27.6	14	0	1.3
Dalano Banton	POR	25	41	15	26	15.5	8.8	3.1	7.5	41	1.2	3.2	36.1	1.4	2	71.1	0.3	1.6	1.9	2.2	1.2	0.7	0.5	0.9	16.7	0	0	-0.1
Wendell Carter Jr.	ORL	25	42	17	25	25.1	8.7	3.1	6.8	45.6	0.5	2.2	20.4	2.1	2.9	71.9	1.8	5.1	7	2.3	1	0.8	0.5	2.8	23.4	6	0	-1.3
Dorian Finney-Smith	LAL	31	37	18	19	27.2	8.7	3.1	6.7	46.2	1.9	4.6	41.3	0.6	0.8	67.7	1.2	2.6	3.8	1.4	0.9	0.9	0.4	2.4	18.3	0	0	4.4
Marcus Smart	WAS	30	19	12	7	21.1	8.7	2.8	7.8	35.8	1.5	4.7	32.2	1.6	1.9	83.3	0.7	1.5	2.3	3.7	1.8	1.2	0.3	1.6	19.7	0	0	4.6
Yves Missi	NOP	20	50	10	40	27.4	8.7	3.5	6.3	54.6	0	0	0	1.7	2.7	64.9	3.5	4.6	8.1	1.4	1.2	0.5	1.5	2.2	25.3	8	0	-6.2
Jusuf Nurkic	CHA	30	25	13	12	23.7	8.6	3	6.5	45.4	0.8	2.4	32.2	1.9	2.8	69.6	1.8	7.3	9.2	1.9	2.3	0.9	0.6	3.1	24.8	8	0	-2.8
Jalen Smith	CHI	24	49	20	29	15.3	8.5	3	6.4	47.8	1.3	3.5	35.8	1.2	1.4	82.6	1.4	4.1	5.5	0.9	0.6	0.2	0.7	1.5	18.8	1	0	-1.2
Max Strus	CLE	28	24	18	6	24.8	8.5	3	7.1	42.7	2.1	5.6	37.8	0.3	0.4	77.8	0.8	3.5	4.3	3	1	0.6	0.4	2	20.1	0	0	4.5
Larry Nance Jr.	ATL	32	24	10	14	19.3	8.5	3.3	6.5	51.6	1.4	3.2	44.7	0.4	0.5	69.2	1	3.3	4.3	1.6	0.7	0.8	0.5	1.5	19.4	3	0	-4
Trendon Watford	BKN	24	18	10	8	16.9	8.4	3	6.7	44.6	0.7	2.1	32.4	1.8	2.2	82.1	0.4	2.6	3	1.5	1.2	0.4	0.3	2.3	15.2	0	0	1.1
Tristan da Silva	ORL	23	51	24	27	25.2	8.4	3.2	7.4	42.7	1.2	3.7	33.3	0.9	1	86.5	1.2	2.6	3.9	1.7	0.9	0.5	0.3	1.5	17	1	0	-0.6
Kel'el Ware	MIA	20	36	17	19	18.6	8.4	3.5	6.6	53.2	0.7	1.9	37.3	0.7	1	74.3	1.3	4.4	5.8	0.8	0.7	0.6	1	1.3	20.3	6	0	0.6
Bruce Brown	NOP	28	18	8	10	19.6	8.4	3.2	7.3	43.5	0.6	2	30.6	1.4	1.6	89.7	0.9	2.8	3.8	1.6	1.1	0.9	0.2	1.4	17.5	0	0	-2.7
Jaylen Nowell	WAS	25	8	1	7	21	8.4	3.3	9.1	35.6	1	3.4	29.6	0.9	1.4	63.6	0.8	1.8	2.5	2.3	1	0.1	0.5	1.1	15.6	0	0	-5.3
Draymond Green	GSW	34	39	21	18	28.4	8.3	2.9	6.9	41.8	1.2	3.6	34.5	1.3	2.1	61	1	4.9	5.8	5.5	2.4	1.2	1.1	3.2	28.1	3	0	3
Jaden Hardy	DAL	22	40	21	19	15.4	8.3	3	7	43.2	1.3	3.3	38.3	0.9	1.3	74	0.2	1.4	1.6	1.4	1.5	0.5	0.1	1.5	12.6	0	0	0
Mike Conley	MIN	37	47	28	19	25.1	8.2	2.6	7	37.1	1.8	4.6	39	1.2	1.4	90.6	0.5	2.2	2.7	4.6	1.1	1.2	0.2	1.4	21.5	1	0	2.6
Day'Ron Sharpe	BKN	23	31	10	21	17.4	8.2	3.4	6.5	51.7	0.2	1	20	1.3	1.7	77.4	3	3.2	6.1	1.5	1.3	0.7	0.6	2.1	20.7	3	0	1.5
Quinten Post	GSW	24	15	6	9	14.6	8.2	3	6.1	48.9	1.6	3.9	41.4	0.6	0.6	100	1	2.4	3.4	1.7	0.5	0.1	0.3	1.9	15.5	0	0	-1.5
Peyton Watson	DEN	22	48	29	19	24.1	8.1	2.9	6.2	47.1	0.7	2	34	1.6	2.1	75.2	0.8	2.6	3.4	1.5	0.9	0.9	1.2	1.7	19.8	0	0	0.7
Nick Smith Jr.	CHA	20	32	8	24	18.8	8.1	3.1	7.6	40.7	1.4	4.2	34.6	0.4	0.5	87.5	0.2	1.8	2	1.8	1.1	0.4	0.2	1.1	13.7	0	0	-3.7
Justin Champagnie	WAS	23	34	7	27	18.9	8	3.1	6	52	1.1	2.8	38.9	0.7	1	68.6	1.5	3.1	4.6	0.9	0.9	0.9	0.6	1.9	18.8	2	0	-3.1
Brandon Clarke	MEM	28	49	34	15	18.9	8	3.6	5.8	61.7	0	0.3	6.3	0.9	1.2	68.9	1.9	3.2	5.1	1	0.6	0.9	0.6	2.4	19.2	0	0	3.5
Al Horford	BOS	38	42	29	13	26.5	8	2.9	7.1	41.1	1.8	5	35.5	0.4	0.4	88.9	1.1	4.3	5.4	1.9	0.7	0.6	0.9	1.4	20.9	3	0	5.7
Justin Edwards	PHI	21	24	8	16	23.5	8	3	6.5	46.5	1.5	3.9	37.2	0.5	0.8	63.2	1	2.1	3.1	1.3	0.9	0.8	0.3	2.1	15.9	0	0	-2.3
Kyshawn George	WAS	21	47	8	39	26	8	2.7	7.5	36.1	1.6	5.2	30.5	1	1.3	76.7	0.7	3.1	3.9	2.2	1.3	0.9	0.6	3	19.1	0	0	-5.8
Tyrese Martin	BKN	25	35	10	25	21.2	7.9	2.9	7.2	39.5	1.5	4.5	34	0.7	0.9	71.9	1	2.9	3.9	1.8	1.3	0.5	0.1	1.2	15.7	1	0	-5.1
Taurean Prince	MIL	30	52	28	24	25.9	7.9	2.8	6.1	46.1	1.8	4	45.9	0.4	0.5	82.1	0.5	3.2	3.7	2	1	0.8	0.1	2.1	17.1	1	0	-0.9
Cody Martin	PHX	29	39	11	28	24.8	7.8	3	6.9	43.3	1	3.2	32.3	0.9	1.3	69.4	1	3.5	4.5	2.3	1.1	1.1	0.7	1.8	20.9	0	0	-1.4
Keon Ellis	SAC	25	51	26	25	22.3	7.8	2.6	5.4	48.4	1.7	3.8	44	0.9	1.1	84.2	0.8	1.7	2.5	1.3	0.9	1.4	0.7	1.8	18.4	0	0	1.4
Ja'Kobe Walter	TOR	20	35	11	24	19.5	7.7	2.8	7.1	40.1	1.1	3.4	31.1	1	1.4	70	0.8	1.7	2.5	1.4	0.8	0.7	0.2	1.8	14.7	1	0	-3.1
Kevin Huerter	CHI	26	45	22	23	20.9	7.7	2.9	7.2	40.4	1.4	4.7	29.7	0.5	0.7	68.8	0.5	2.4	2.9	1.8	0.9	0.8	0.4	1.6	16.5	0	0	-1.9
Johnny Juzang	UTA	23	36	10	26	17.8	7.7	2.6	6.1	42.7	1.8	4.3	40.4	0.7	0.9	83.9	0.6	2.1	2.7	1	0.5	0.4	0.1	2	13.6	0	0	-3.6
AJ Green	MIL	25	45	25	20	22	7.6	2.6	6	43.3	2.1	5	42.7	0.4	0.4	88.9	0.2	2.1	2.3	1.2	0.5	0.5	0.1	2.1	13.7	0	0	1.7
Sam Hauser	BOS	27	45	31	14	19.9	7.6	2.7	6.1	44.5	2.1	5.3	40.5	0	0	100	0.6	2.4	3	1	0.4	0.6	0.2	1.1	14.8	0	0	4.7
Aaron Nesmith	IND	25	17	9	8	20.5	7.6	2.6	5.6	46.3	0.9	2.6	34.1	1.5	1.7	89.7	0.5	2.8	3.2	1.4	0.7	0.6	0.2	2.6	15.5	0	0	2.5
Jay Huff	MEM	27	45	30	15	12.6	7.6	2.7	5.1	52.4	1.4	3.4	42.1	0.8	1.1	77.1	0.5	1.7	2.2	0.6	0.6	0.2	0.9	1.4	13.9	0	0	-0.6
Trayce Jackson-Davis	GSW	24	49	24	25	18.5	7.6	3.2	5.7	57	0	0	0	1.1	1.8	60.5	2.2	3.7	5.9	2	0.8	0.4	0.7	1.4	20.3	4	0	-1.8
Garrison Mathews	ATL	28	43	18	25	17.7	7.5	2.1	5.5	39	1.8	4.7	38.5	1.5	1.8	82.9	0.3	1.5	1.8	1.3	0.7	0.6	0.3	1.7	13.6	0	0	-1.4
Vasilije Micic	PHX	31	36	7	29	21.2	7.5	2.6	7.6	34.8	1.3	3.5	36	0.9	1.1	82.9	0.6	1.9	2.4	3.5	2.1	0.4	0	1.2	14.9	1	0	-3.6
Josh Green	CHA	24	46	11	35	28.6	7.4	2.6	6	43.7	1.4	3.5	40.6	0.8	1.1	70	1	1.9	2.8	1.5	0.9	1.1	0.2	2.7	16.1	0	0	-4.9
Cameron Payne	NYK	30	47	33	14	14.6	7.3	2.6	6.1	42.8	1.4	3.7	38.2	0.7	0.8	89.7	0.2	1.2	1.4	2.6	0.7	0.6	0.3	1.6	14.8	0	0	3.2
Cason Wallace	OKC	21	46	37	9	27.4	7.3	3	6.8	44.2	1	2.9	33.3	0.3	0.4	77.8	1.1	2.4	3.5	2.4	0.7	1.8	0.6	2.2	21.3	0	0	5.7
Bones Hyland	LAC	24	20	8	12	11.1	7.2	2.3	5.8	39.1	1.6	4	38.8	1.2	1.3	88.5	0.3	1	1.2	1.4	1.2	0.9	0.2	1.3	12.8	0	0	-1.7
Jake LaRavia	SAC	23	49	33	16	20.6	7.2	2.5	5	49.6	0.8	1.9	44.6	1.4	2	69.8	1.4	2.9	4.2	2.8	1.4	0.9	0.4	1.9	19.1	2	0	3.5
Sam Merrill	CLE	28	44	34	10	19.1	7.2	2.4	6	39.2	1.9	5.3	35.9	0.6	0.6	96.2	0.5	1.5	2	1.5	0.5	0.6	0.2	1.8	13.8	0	0	4.6
Lonzo Ball	CHI	27	30	14	16	21.6	7.2	2.4	6.5	36.2	1.8	5.4	34	0.6	0.7	85.7	0.7	2.8	3.4	3.5	1.2	1.5	0.5	1.7	21.2	0	0	2.4
Kelly Olynyk	NOP	33	24	6	18	16	7.1	2.5	4.9	50	0.8	1.8	44.2	1.4	1.8	79.1	1	2.7	3.7	2.3	1.5	0.7	0.3	2.5	16.6	0	0	-1.7
Jared Butler	PHI	24	34	3	31	11.4	7.1	2.8	5.7	48.7	0.5	1.4	37	1.1	1.4	78.7	0.5	0.9	1.4	2.6	0.9	0.4	0.1	1.3	13.3	0	0	-1.3
Isaiah Jackson	IND	23	5	1	4	16.8	7	2.8	4.6	60.9	0	0	0	1.4	2.8	50	2.2	3.4	5.6	1	1	0.6	1.6	2.8	20.8	0	0	2
Mouhamed Gueye	ATL	22	7	2	5	15.1	7	2.9	6.9	41.7	0.6	3.3	17.4	0.7	1	71.4	0.7	3.3	4	0.6	0.3	1.3	1	0.9	19.2	1	0	3.9
Andre Drummond	PHI	31	29	10	19	18.8	6.9	2.8	5.6	50.9	0	0.4	9.1	1.2	2.1	57.4	2.4	5.1	7.5	0.6	1.6	1.1	0.4	2.4	19.7	3	0	-4.7
Torrey Craig	BOS	34	9	3	6	12.5	6.9	2.4	5	48.9	1.7	3.9	42.9	0.3	0.4	75	0.9	1.9	2.8	0.6	0	0.2	0.1	1.7	12.1	0	0	-3.1
Josh Okogie	CHA	26	32	11	21	15.6	6.9	2.5	5.2	47.3	0.8	2	38.5	1.2	1.6	72.5	1.3	1.7	3	0.8	0.8	1.3	0.5	1.2	16	1	0	0.8
Vít Krejci	ATL	24	39	18	21	20.8	6.9	2.5	5.5	44.7	1.4	3.7	38.4	0.5	0.8	66.7	0.4	2.4	2.7	2.7	0.9	0.7	0.5	1.9	16.9	1	0	-2.1
Eric Gordon	PHI	36	39	12	27	19.7	6.8	2.2	5.2	42.6	1.4	3.5	40.9	0.9	1.2	75	0.2	1	1.2	1.7	0.7	0.7	0.3	0.8	12.9	0	0	-1.8
Thomas Bryant	IND	27	36	23	13	14.8	6.8	2.6	4.9	52.8	0.8	2.1	37.7	0.8	0.9	87.5	1.4	2.6	4	1.1	0.4	0.4	0.6	1	16.1	1	0	2.1
Ryan Dunn	PHX	22	48	24	24	18.8	6.6	2.7	6.1	44.5	1	3.2	31.4	0.2	0.5	47.8	1	2.4	3.4	0.9	0.4	0.4	0.6	2.3	14.6	1	0	-1.6
Isaiah Collier	UTA	20	44	10	34	23.3	6.6	2.7	6.7	40.3	0.5	2.2	21.1	0.7	1.1	64.6	0.4	2.6	3	5.7	2.7	0.8	0.2	2.2	19	6	0	-3.2
KJ Simpson	CHA	22	21	2	19	19.2	6.5	2.2	7	31.8	0.7	3	21.9	1.4	1.7	80.6	1.1	1.6	2.7	2.5	1.3	0.7	0.2	1.6	14.9	0	0	-4.3
Precious Achiuwa	NYK	25	32	22	10	21.3	6.5	2.7	5.1	53	0.3	0.7	34.8	0.8	1.3	61.9	2.2	3.8	6	1.1	0.8	1	0.8	1.6	19.6	2	0	-0.3
KJ Martin	UTA	24	24	9	15	20	6.4	2.5	4.1	61.6	0.3	0.9	38.1	1	1.2	82.8	0.9	2.1	3	0.8	0.5	0.5	0.7	2.6	14.1	0	0	1.2
Ajay Mitchell	OKC	22	34	29	5	16.5	6.4	2.5	4.9	50.6	0.6	1.5	43.1	0.8	1	84.8	0.5	1.5	2	1.7	0.8	0.7	0.1	1.7	12.9	1	0	3.4
Haywood Highsmith	MIA	28	48	24	24	23.9	6.4	2.4	5.2	46.8	1.2	3	39	0.4	0.5	69.2	0.8	2.3	3.1	1.2	0.7	0.9	0.6	2	15.9	0	0	-0.6
Ricky Council IV	PHI	23	45	13	32	14.3	6.4	2.1	5.1	41.6	0.7	2.2	30.7	1.4	1.7	80.8	0.6	1.6	2.3	1.1	0.6	0.4	0.2	0.9	12	1	0	-1.7
Trey Lyles	SAC	29	43	22	21	19.2	6.3	2.2	5.5	39.6	1.3	3.7	33.8	0.8	1	75	1	3.5	4.5	0.9	0.5	0.6	0.4	1.2	15.7	1	0	-1.1
Kyle Filipowski	UTA	21	42	8	34	18	6.3	2.4	4.8	50	0.6	1.9	32.5	1	1.5	62.5	1.2	3.5	4.8	1.8	1	0.5	0.1	1.9	15.9	2	0	-3
Ronald Holland II	DET	19	54	28	26	15.6	6.3	2.4	5.4	44.6	0.5	2.1	25.2	1	1.2	80.3	0.5	2.2	2.7	0.9	0.9	0.6	0.1	1.8	12.2	0	0	-1.5
Davion Mitchell	MIA	26	45	15	30	24.5	6.3	2.4	5.6	42.9	0.9	2.7	34.7	0.6	0.8	67.6	0.4	1.6	2	4.6	1.7	0.7	0.2	2.6	16.4	1	0	-1.4
Simone Fontecchio	DET	29	49	24	25	17.8	6.3	2.1	5.4	38.4	1.1	3.3	32.9	1.1	1.3	82.8	0.7	2.3	3	0.9	0.8	0.4	0.2	1.3	12.2	0	0	-1
Matas Buzelis	CHI	20	52	22	30	14.6	6.3	2.3	5.1	44.2	0.9	2.4	37.3	0.8	1	79.6	0.6	2.2	2.8	0.5	0.6	0.3	0.9	1.5	13.2	0	0	-0.6
Dru Smith	MIA	27	14	8	6	19.2	6.2	2.2	4.4	50.8	1.1	2.1	53.3	0.6	0.9	75	0.9	1.7	2.6	1.6	1.2	1.5	0.4	2.1	16.3	0	0	2.7
Ben Simmons	LAC	28	33	13	20	25	6.2	2.8	5.2	54.7	0	0	0	0.5	0.8	69.2	0.9	4.3	5.2	6.9	2.7	0.8	0.5	2.5	24	1	0	-2.1
Terance Mann	ATL	28	39	23	16	19.8	6.1	2.4	5.2	45.6	0.7	2	37.2	0.6	0.9	68.6	0.8	2	2.8	1.6	0.7	0.7	0.3	1.8	14.3	0	0	-2.1
Alex Caruso	OKC	30	32	26	6	19.2	6.1	2.3	5.8	40.8	1.1	3.4	32.1	0.3	0.4	78.6	0.7	2	2.8	2.6	0.6	1.8	0.5	2	19.4	0	0	6.9
Jonathan Isaac	ORL	27	49	23	26	16.6	6.1	2.2	5.2	41.8	0.7	2.5	26.6	1	1.5	66.7	1.8	3	4.9	0.5	0.4	0.8	1.2	1.4	18.3	1	0	-1.7
Jarace Walker	IND	21	50	27	23	16.6	6.1	2.2	4.8	45.8	0.9	2.4	36.9	0.8	1.2	64.4	0.4	2.9	3.2	1.4	1.1	0.9	0.4	1.7	14.8	0	0	-2.8
Ben Sheppard	IND	23	38	23	15	20.4	6.1	2.2	5.1	43.2	1.3	3.5	37.6	0.4	0.4	87.5	0.7	1.8	2.5	1.2	0.3	0.7	0.3	2.2	13.4	0	0	0.1
Marcus Sasser	DET	24	42	20	22	14.2	6	2.3	4.9	46.6	0.9	2.5	36.4	0.5	0.6	88.5	0.3	0.9	1.2	2.3	1	0.7	0.1	1.4	12.2	0	0	-0.7
Jamal Shead	TOR	22	48	16	32	17.2	6	2.4	5.5	43.1	0.8	2.3	35.7	0.5	0.7	72.7	0.3	0.9	1.2	3.6	1.5	0.5	0.1	1.9	13.3	1	0	-4.2
Dean Wade	CLE	28	35	30	5	22.8	6	2.1	5.1	40.8	1.5	4.3	34.9	0.4	0.7	52	1	4.1	5.1	1.6	0.3	0.9	0.5	1.9	18.1	1	0	5.3
Seth Curry	CHA	34	44	12	32	14.3	6	2.2	4.6	48	1.2	2.5	47.2	0.4	0.5	85.7	0.4	1.1	1.5	0.7	0.4	0.4	0.1	0.9	10.1	0	0	-0.7
Alec Burks	MIA	33	27	14	13	16.5	6	1.9	4.4	42.9	1.4	3.3	43.8	0.8	1	80.8	0.3	1.9	2.3	1	0.3	0.6	0.2	0.7	12.2	0	0	2.6
James Wiseman	IND	23	1	1	0	4.6	6	2	4	50	0	1	0	2	2	100	0	1	1	0	0	0	0	0	7.2	0	0	-4
Rob Dillingham	MIN	20	29	16	13	12.4	6	2.5	5.4	46.5	0.8	2	39	0.2	0.3	55.6	0.2	0.9	1.1	2.5	1.4	0.4	0	1	10.8	0	0	-0.5
Shake Milton	LAL	28	41	21	20	16	6	2.1	4.7	45.4	0.8	2.1	35.2	0.9	1.2	79.2	0.5	1.4	1.9	2.1	0.7	0.4	0.1	1.4	12.2	1	0	-1.8
Isaiah Wong	CHA	24	19	2	17	13.1	5.9	2	5.2	38.8	0.6	1.7	37.5	1.3	1.8	73.5	0.7	0.9	1.7	1.4	0.9	0.6	0	1.1	10.9	0	0	0.2
Richaun Holmes	WAS	31	16	3	13	15.7	5.9	2.4	3.8	63.9	0	0.2	0	1.1	1.4	77.3	1.7	3.1	4.8	1.1	0.4	0.1	0.6	1.4	15.1	1	0	-0.7
Elfrid Payton	CHA	30	8	0	8	20.9	5.9	2.9	6.3	46	0	0.1	0	0.1	0.3	50	0.6	2.5	3.1	6.5	2.6	1.5	0.4	1.5	22.4	1	0	-2.8
