Player	Team	Age	GP	W	L	Min	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	Plus/Minus
Bronny James	LAL	20	16	11	5	4	0.9	0.3	1.5	16.7	0.1	0.6	10	0.3	0.4	71.4	0.1	0.4	0.4	0.4	0.3	0.3	0.1	0.4	2.9	0	0	-1.5
Maxwell Lewis	BKN	22	8	4	4	3.8	0.9	0.4	0.9	42.9	0.1	0.1	100	0	0	0	0.3	0	0.3	0.3	0.3	0.1	0	0.1	1.7	0	0	-3.3
Joe Ingles	MIN	37	14	8	6	6.2	0.9	0.4	1	35.7	0.1	0.5	28.6	0	0	0	0.1	0.4	0.5	1.1	0.5	0.1	0	0.7	3.1	0	0	-0.6
RayJ Dennis	IND	23	6	4	2	1.9	0.8	0.2	0.5	33.3	0.2	0.5	33.3	0.3	0.3	100	0.2	0.3	0.5	0.2	0.3	0.3	0	0.2	2.4	0	0	0.2
Baylor Scheierman	BOS	24	11	10	1	6.3	0.8	0.3	1.7	15.8	0.1	1.3	7.1	0.2	0.2	100	0.2	1.4	1.5	0.6	0.1	0.3	0	0.5	4.4	0	0	-0.5
Jalen Bridges	PHX	23	5	0	5	5	0.8	0.2	0.8	25	0.2	0.8	25	0.2	0.4	50	0	0.6	0.6	0	0.8	0	0	0	0.7	0	0	0
James Johnson	IND	37	10	4	6	3.2	0.8	0.4	0.9	44.4	0	0.3	0	0	0.1	0	0	0.5	0.5	0.4	0.4	0	0.2	0.4	2.2	0	0	-0.4
PJ Dozier	MIN	28	9	7	2	3.9	0.8	0.2	0.3	66.7	0.2	0.3	66.7	0.1	0.7	16.7	0.1	0.4	0.6	0.6	0.1	0.1	0	0.3	2.5	0	0	-0.4
D.J. Carton	TOR	24	4	1	3	8.3	0.8	0.3	1.8	14.3	0	0.8	0	0.3	0.3	100	0	1	1	0.8	1	0.5	0	0.3	3.6	0	0	3
Isaiah Crawford	SAC	23	4	3	1	3.5	0.8	0.3	0.8	33.3	0	0.3	0	0.3	0.5	50	0	1	1	0	0	0	0	0.3	2	0	0	3.5
